,energy,energy_stop,initial_rho_pos,initial_phi_pos,initial_zpos,initial_pitch_angle,initial_phi_dir,center_theta,initial_field,initial_radius,center_x,center_y,rho_center,trapped_initial_pitch_angle,max_radius,avg_cycl_freq,freq_stop,zmax,axial_freq,mod_index,segment_power,slope,segment_length,band_power,band_num,segment_num,event_num
0,17800.0,17776.336332426403,0.001759219529638134,267.72474296189125,-0.00013070399145737304,89.58682895040226,243.14993011551664,89.58627715898551,0.6883028919094347,0.0006592845220181955,0.002347427551777095,-0.00029777072331599726,0.002366238262412798,87.75083853579805,0.0006592909635981494,18550751912.97061,18619892701.12757,0.002573411264101463,34153775.483516514,0.5800575149908752,3.6990478950324865e-16,162590866.78516865,0.0051247478188741315,1.512592508310768e-17,-2.0,0.0,0.0
1,17800.0,17776.336332426403,0.001759219529638134,267.72474296189125,-0.00013070399145737304,89.58682895040226,243.14993011551664,89.58627715898551,0.6883028919094347,0.0006592845220181955,0.002347427551777095,-0.00029777072331599726,0.002366238262412798,87.75083853579805,0.0006592909635981494,18584905688.45413,18619892701.12757,0.002573411264101463,34153775.483516514,0.5800575149908752,3.6990478950324865e-16,162590866.78516865,0.0051247478188741315,1.0283369670813141e-16,-1.0,0.0,0.0
2,17800.0,17776.336332426403,0.001759219529638134,267.72474296189125,-0.00013070399145737304,89.58682895040226,243.14993011551664,89.58627715898551,0.6883028919094347,0.0006592845220181955,0.002347427551777095,-0.00029777072331599726,0.002366238262412798,87.75083853579805,0.0006592909635981494,18619059463.937645,18619892701.12757,0.002573411264101463,34153775.483516514,0.5800575149908752,3.6990478950324865e-16,162590866.78516865,0.0051247478188741315,3.3943786919770266e-16,0.0,0.0,0.0
3,17800.0,17776.336332426403,0.001759219529638134,267.72474296189125,-0.00013070399145737304,89.58682895040226,243.14993011551664,89.58627715898551,0.6883028919094347,0.0006592845220181955,0.002347427551777095,-0.00029777072331599726,0.002366238262412798,87.75083853579805,0.0006592909635981494,18653213239.42116,18619892701.12757,0.002573411264101463,34153775.483516514,0.5800575149908752,3.6990478950324865e-16,162590866.78516865,0.0051247478188741315,1.0283369670813141e-16,1.0,0.0,0.0
4,17800.0,17776.336332426403,0.001759219529638134,267.72474296189125,-0.00013070399145737304,89.58682895040226,243.14993011551664,89.58627715898551,0.6883028919094347,0.0006592845220181955,0.002347427551777095,-0.00029777072331599726,0.002366238262412798,87.75083853579805,0.0006592909635981494,18687367014.90468,18619892701.12757,0.002573411264101463,34153775.483516514,0.5800575149908752,3.6990478950324865e-16,162590866.78516865,0.0051247478188741315,1.512592508310768e-17,2.0,0.0,0.0
5,17776.336332426403,17772.15859959459,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006588386889499326,0.0023470297833197307,-0.00029756935951815106,0.0023658183209016507,87.75074593831589,0.0006588450784808472,18551629427.201214,18620039958.617157,0.002573448295983462,34131709.365349285,0.580143675524257,3.694733485652196e-16,162409780.0128085,0.0009058117388861177,1.5112644711720136e-17,-2.0,1.0,0.0
6,17776.336332426403,17772.15859959459,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006588386889499326,0.0023470297833197307,-0.00029756935951815106,0.0023658183209016507,87.75074593831589,0.0006588450784808472,18585761136.566563,18620039958.617157,0.002573448295983462,34131709.365349285,0.580143675524257,3.694733485652196e-16,162409780.0128085,0.0009058117388861177,1.0272771079941234e-16,-1.0,1.0,0.0
7,17776.336332426403,17772.15859959459,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006588386889499326,0.0023470297833197307,-0.00029756935951815106,0.0023658183209016507,87.75074593831589,0.0006588450784808472,18619892845.93191,18620039958.617157,0.002573448295983462,34131709.365349285,0.580143675524257,3.694733485652196e-16,162409780.0128085,0.0009058117388861177,3.3903311308381425e-16,0.0,1.0,0.0
8,17776.336332426403,17772.15859959459,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006588386889499326,0.0023470297833197307,-0.00029756935951815106,0.0023658183209016507,87.75074593831589,0.0006588450784808472,18654024555.29726,18620039958.617157,0.002573448295983462,34131709.365349285,0.580143675524257,3.694733485652196e-16,162409780.0128085,0.0009058117388861177,1.0272771079941234e-16,1.0,1.0,0.0
9,17776.336332426403,17772.15859959459,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006588386889499326,0.0023470297833197307,-0.00029756935951815106,0.0023658183209016507,87.75074593831589,0.0006588450784808472,18688156264.66261,18620039958.617157,0.002573448295983462,34131709.365349285,0.580143675524257,3.694733485652196e-16,162409780.0128085,0.0009058117388861177,1.5112644711720136e-17,2.0,1.0,0.0
10,17772.15859959459,17768.919082889017,0.001759219529638134,267.72474296189125,0.0,89.58627715898551,243.14993011551664,89.58627715898551,0.688302799599402,0.0006587599419830175,0.002346959525948123,-0.0002975337928689819,0.002365744148114424,87.75074748922079,0.000658766329846038,18551784360.767166,18620154060.58231,0.002573454821547369,34127811.71169051,0.5801588843137374,3.693971704429777e-16,162378572.25571966,0.0007025335312231231,1.5110298623755652e-17,-2.0,2.0,0.0
