,energy,energy_stop,initial_phi_pos,freq_stop,segment_power,slope,segment_length,band_power,band_num,segment_num,event_num,time_start,time_stop,freq_start
0,17800.0,17783.53991224358,76.42193243081209,18569346160.564194,2.710353160182443e-16,119156489.89325969,0.00486504275278531,9.224576072002265e-17,-2.0,0.0,0.0,0.12620950915814017,0.13107455191092549,18568766459.14659
1,17800.0,17783.53991224358,76.42193243081209,18596455176.346603,2.710353160182443e-16,119156489.89325969,0.00486504275278531,1.5710970853787841e-16,-1.0,0.0,0.0,0.12620950915814017,0.13107455191092549,18595875474.929
2,17800.0,17783.53991224358,76.42193243081209,18623564192.129013,2.710353160182443e-16,119156489.89325969,0.00486504275278531,6.931080611072089e-17,0.0,0.0,0.0,0.12620950915814017,0.13107455191092549,18622984490.71141
3,17800.0,17783.53991224358,76.42193243081209,18650673207.911423,2.710353160182443e-16,119156489.89325969,0.00486504275278531,1.5710970853787841e-16,1.0,0.0,0.0,0.12620950915814017,0.13107455191092549,18650093506.49382
4,17800.0,17783.53991224358,76.42193243081209,18677782223.693832,2.710353160182443e-16,119156489.89325969,0.00486504275278531,9.224576072002265e-17,2.0,0.0,0.0,0.12620950915814017,0.13107455191092549,18677202522.27623
5,17783.53991224358,17739.442262024993,76.42193243081209,18570922734.32526,2.7078184521763237e-16,119058689.45807165,0.013045967823832152,9.216989940117958e-17,-2.0,1.0,0.0,0.13107455191092549,0.14412051973475765,18569369498.493443
6,17783.53991224358,17739.442262024993,76.42193243081209,18598020046.61941,2.7078184521763237e-16,119058689.45807165,0.013045967823832152,1.5696086181913744e-16,-1.0,1.0,0.0,0.13107455191092549,0.14412051973475765,18596466810.787594
7,17783.53991224358,17739.442262024993,76.42193243081209,18625117358.913563,2.7078184521763237e-16,119058689.45807165,0.013045967823832152,6.92197232183587e-17,0.0,1.0,0.0,0.13107455191092549,0.14412051973475765,18623564123.081745
8,17783.53991224358,17739.442262024993,76.42193243081209,18652214671.207714,2.7078184521763237e-16,119058689.45807165,0.013045967823832152,1.5696086181913744e-16,1.0,1.0,0.0,0.13107455191092549,0.14412051973475765,18650661435.375896
9,17783.53991224358,17739.442262024993,76.42193243081209,18679311983.501865,2.7078184521763237e-16,119058689.45807165,0.013045967823832152,9.216989940117958e-17,2.0,1.0,0.0,0.13107455191092549,0.14412051973475765,18677758747.670048
10,17739.442262024993,17675.475720576498,76.42193243081209,18573238513.612526,2.700939345923068e-16,118780498.52615412,0.01897223242514375,9.196293295298265e-17,-2.0,2.0,0.0,0.14412051973475765,0.1630927521599014,18570984982.386913
11,17739.442262024993,17675.475720576498,76.42193243081209,18600304584.805096,2.700939345923068e-16,118780498.52615412,0.01897223242514375,1.5655708142367745e-16,-1.0,2.0,0.0,0.14412051973475765,0.1630927521599014,18598051053.579483
12,17739.442262024993,17675.475720576498,76.42193243081209,18627370655.99767,2.700939345923068e-16,118780498.52615412,0.01897223242514375,6.897524977303372e-17,0.0,2.0,0.0,0.14412051973475765,0.1630927521599014,18625117124.772057
13,17739.442262024993,17675.475720576498,76.42193243081209,18654436727.190243,2.700939345923068e-16,118780498.52615412,0.01897223242514375,1.5655708142367745e-16,1.0,2.0,0.0,0.14412051973475765,0.1630927521599014,18652183195.96463
14,17739.442262024993,17675.475720576498,76.42193243081209,18681502798.382812,2.700939345923068e-16,118780498.52615412,0.01897223242514375,9.196293295298265e-17,2.0,2.0,0.0,0.14412051973475765,0.1630927521599014,18679249267.1572
15,17675.475720576498,17655.930155805574,76.42193243081209,18574017668.56521,2.6909626229164276e-16,118360439.8139531,0.005818632876937133,9.166251317512333e-17,-2.0,3.0,0.0,0.1630927521599014,0.16891138503683853,18573328972.61878
16,17675.475720576498,17655.930155805574,76.42193243081209,18601038340.10787,2.6909626229164276e-16,118360439.8139531,0.005818632876937133,1.5597149015329816e-16,-1.0,3.0,0.0,0.1630927521599014,0.16891138503683853,18600349644.161438
17,17675.475720576498,17655.930155805574,76.42193243081209,18628059011.650528,2.6909626229164276e-16,118360439.8139531,0.005818632876937133,6.86213229692312e-17,0.0,3.0,0.0,0.1630927521599014,0.16891138503683853,18627370315.704098
18,17675.475720576498,17655.930155805574,76.42193243081209,18655079683.193188,2.6909626229164276e-16,118360439.8139531,0.005818632876937133,1.5597149015329816e-16,1.0,3.0,0.0,0.1630927521599014,0.16891138503683853,18654390987.246758
19,17675.475720576498,17655.930155805574,76.42193243081209,18682100354.735847,2.6909626229164276e-16,118360439.8139531,0.005818632876937133,9.166251317512333e-17,2.0,3.0,0.0,0.1630927521599014,0.16891138503683853,18681411658.789417
20,17800.0,17788.6515736771,13.106575750937935,18558778295.503937,2.9631938977901187e-16,130256097.39254878,0.003068004341889649,5.83297727477109e-17,-2.0,0.0,1.0,0.06482960911268748,0.06789761345457714,18558378669.23158
21,17800.0,17788.6515736771,13.106575750937935,18590017212.18683,2.9631938977901187e-16,130256097.39254878,0.003068004341889649,1.5819598877284136e-16,-1.0,0.0,1.0,0.06482960911268748,0.06789761345457714,18589617585.91447
22,17800.0,17788.6515736771,13.106575750937935,18621256128.869717,2.9631938977901187e-16,130256097.39254878,0.003068004341889649,1.7481349097064726e-16,0.0,0.0,1.0,0.06482960911268748,0.06789761345457714,18620856502.59736
23,17800.0,17788.6515736771,13.106575750937935,18652495045.552605,2.9631938977901187e-16,130256097.39254878,0.003068004341889649,1.5819598877284136e-16,1.0,0.0,1.0,0.06482960911268748,0.06789761345457714,18652095419.280247
